FECHA,SOCIOS, ACTIVOS, INACTIVOS,ALTAS SOCIOS,BAJAS SOCIOS 
01/01/2022,575322,262796,312526,0,0
01/02/2022,577337,264705,312632,2500,485
01/03/2022,579842,267016,312826,3034,529
01/04/2022,582052,269052,313000,2635,425
01/05/2022,584613,271466,313147,3015,454
01/06/2022,582220,273129,309091,2702,5095
01/07/2022,584784,267452,317332,2983,419
01/08/2022,587763,270268,317495,3504,525
01/09/2022,590307,272575,317732,2948,404
01/10/2022,592831,274911,317920,3037,513
01/11/2022,595427,277886,317541,2994,398
01/12/2022,597802,278657,319145,2876,501
01/01/2023,600529,281308,319221,3248,521
01/02/2023,602965,283543,319422,2900,464
01/03/2023,605917,286394,319523,3434,482
01/04/2023,608293,288360,319933,2838,462
01/05/2023,587182,285868,301314,3250,24361
01/06/2023,590085,288484,301601,3348,445
01/07/2023,593120,275013,318107,3434,399
01/08/2023,596528,277869,318659,3863,455
01/09/2023,599560,280145,319415,3476,444
01/10/2023,602548,282435,320113,3422,434
01/11/2023,605207,284162,321045,3046,387
01/12/2023,622594,263587,359007,29575,12188
01/01/2024,610138,288043,322095,16354,28810
01/02/2024,612493,289473,323020,2741,386
01/03/2024,614812,291530,323282,2636,317
